epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1565464207501,2019-08-10T12:10:07.501,0.000,-0.793,0.183,-0.183
1565464207521,2019-08-10T12:10:07.521,0.020,-0.732,-0.183,-0.427
1565464207542,2019-08-10T12:10:07.542,0.041,-0.610,0.000,-0.366
1565464207562,2019-08-10T12:10:07.562,0.061,-0.610,0.061,-0.366
1565464207583,2019-08-10T12:10:07.583,0.082,-0.549,0.000,-0.305
1565464207604,2019-08-10T12:10:07.604,0.103,-0.671,-0.061,-0.305
1565464207624,2019-08-10T12:10:07.624,0.123,-0.610,0.061,-0.305
1565464207645,2019-08-10T12:10:07.645,0.144,-0.549,0.061,-0.366
1565464207664,2019-08-10T12:10:07.664,0.163,-0.610,0.000,-0.366
1565464207684,2019-08-10T12:10:07.684,0.183,-0.610,0.000,-0.366
1565464207705,2019-08-10T12:10:07.705,0.204,-0.549,0.000,-0.366
1565464207725,2019-08-10T12:10:07.725,0.224,-0.610,0.061,-0.305
1565464207746,2019-08-10T12:10:07.746,0.245,-0.549,0.000,-0.366
1565464207766,2019-08-10T12:10:07.766,0.265,-0.488,0.000,-0.305
1565464207787,2019-08-10T12:10:07.787,0.286,-0.610,0.000,-0.305
1565464207806,2019-08-10T12:10:07.806,0.305,-0.610,0.000,-0.366
1565464207826,2019-08-10T12:10:07.826,0.325,-0.610,0.000,-0.305
1565464207847,2019-08-10T12:10:07.847,0.346,-0.610,0.000,-0.366
1565464207867,2019-08-10T12:10:07.867,0.366,-0.610,0.000,-0.366
1565464207888,2019-08-10T12:10:07.888,0.387,-0.549,0.000,-0.366
1565464207908,2019-08-10T12:10:07.908,0.407,-0.549,0.000,-0.366
1565464207929,2019-08-10T12:10:07.929,0.428,-0.610,0.000,-0.366
1565464207948,2019-08-10T12:10:07.948,0.447,-0.549,0.000,-0.366
1565464207968,2019-08-10T12:10:07.968,0.467,-0.610,0.000,-0.366
1565464207989,2019-08-10T12:10:07.989,0.488,-0.671,0.000,-0.366
1565464208009,2019-08-10T12:10:08.009,0.508,-0.610,-0.061,-0.366
1565464208030,2019-08-10T12:10:08.030,0.529,-0.671,0.000,-0.366
1565464208050,2019-08-10T12:10:08.050,0.549,-0.610,0.000,-0.366
1565464208071,2019-08-10T12:10:08.071,0.570,-0.549,0.061,-0.366
1565464208090,2019-08-10T12:10:08.090,0.589,-0.610,0.000,-0.305
1565464208110,2019-08-10T12:10:08.110,0.609,-0.610,0.000,-0.366
1565464208131,2019-08-10T12:10:08.131,0.630,-0.671,0.000,-0.305
1565464208151,2019-08-10T12:10:08.151,0.650,-0.671,0.000,-0.366
1565464208172,2019-08-10T12:10:08.172,0.671,-0.610,0.000,-0.366
1565464208192,2019-08-10T12:10:08.192,0.691,-0.610,0.000,-0.366
1565464208213,2019-08-10T12:10:08.213,0.712,-0.610,0.000,-0.366
1565464208232,2019-08-10T12:10:08.232,0.731,-0.610,0.000,-0.305
1565464208252,2019-08-10T12:10:08.252,0.751,-0.610,0.000,-0.366
1565464208273,2019-08-10T12:10:08.273,0.772,-0.610,0.000,-0.366
1565464208293,2019-08-10T12:10:08.293,0.792,-0.610,0.000,-0.366
1565464208314,2019-08-10T12:10:08.314,0.813,-0.549,0.000,-0.366
1565464208334,2019-08-10T12:10:08.334,0.833,-0.671,0.000,-0.305
1565464208355,2019-08-10T12:10:08.355,0.854,-0.610,0.000,-0.305
1565464208375,2019-08-10T12:10:08.375,0.874,-0.610,0.061,-0.366
1565464208395,2019-08-10T12:10:08.395,0.894,-0.671,-0.061,-0.366
1565464208415,2019-08-10T12:10:08.415,0.914,-0.671,0.000,-0.305
1565464208436,2019-08-10T12:10:08.436,0.935,-0.610,0.061,-0.427
1565464208456,2019-08-10T12:10:08.456,0.955,-0.671,0.061,-0.366
1565464208477,2019-08-10T12:10:08.477,0.976,-0.610,0.000,-0.366
1565464208497,2019-08-10T12:10:08.497,0.996,-0.671,0.000,-0.305
1565464208518,2019-08-10T12:10:08.518,1.017,-0.671,0.000,-0.366
1565464208537,2019-08-10T12:10:08.537,1.036,-0.549,-0.061,-0.366
1565464208557,2019-08-10T12:10:08.557,1.056,-0.549,-0.061,-0.305
1565464208578,2019-08-10T12:10:08.578,1.077,-0.549,-0.061,-0.305
1565464208598,2019-08-10T12:10:08.598,1.097,-0.549,0.000,-0.305
1565464208619,2019-08-10T12:10:08.619,1.118,-0.610,0.000,-0.305
1565464208639,2019-08-10T12:10:08.639,1.138,-0.671,-0.061,-0.366
1565464208660,2019-08-10T12:10:08.660,1.159,-0.671,-0.061,-0.366
1565464208679,2019-08-10T12:10:08.679,1.178,-0.549,0.000,-0.305
1565464208699,2019-08-10T12:10:08.699,1.198,-0.549,0.000,-0.305
1565464208720,2019-08-10T12:10:08.720,1.219,-0.610,0.000,-0.305
1565464208740,2019-08-10T12:10:08.740,1.239,-0.610,0.000,-0.305
1565464208761,2019-08-10T12:10:08.761,1.260,-0.610,0.061,-0.366
1565464208781,2019-08-10T12:10:08.781,1.280,-0.610,0.000,-0.305
1565464208802,2019-08-10T12:10:08.802,1.301,-0.610,0.000,-0.366
1565464208821,2019-08-10T12:10:08.821,1.320,-0.610,-0.061,-0.366
1565464208841,2019-08-10T12:10:08.841,1.340,-0.610,0.061,-0.305
1565464208862,2019-08-10T12:10:08.862,1.361,-0.671,0.000,-0.366
1565464208882,2019-08-10T12:10:08.882,1.381,-0.610,0.000,-0.366
1565464208903,2019-08-10T12:10:08.903,1.402,-0.610,0.000,-0.305
1565464208923,2019-08-10T12:10:08.923,1.422,-0.549,0.000,-0.366
1565464208944,2019-08-10T12:10:08.944,1.443,-0.671,0.000,-0.305
1565464208964,2019-08-10T12:10:08.964,1.463,-0.610,0.000,-0.305
1565464208983,2019-08-10T12:10:08.983,1.482,-0.549,0.061,-0.305
1565464209004,2019-08-10T12:10:09.004,1.503,-0.671,0.000,-0.366
1565464209024,2019-08-10T12:10:09.024,1.523,-0.610,-0.061,-0.305
1565464209045,2019-08-10T12:10:09.045,1.544,-0.549,0.000,-0.305
1565464209065,2019-08-10T12:10:09.065,1.564,-0.671,0.000,-0.366
1565464209086,2019-08-10T12:10:09.086,1.585,-0.610,0.000,-0.366
1565464209106,2019-08-10T12:10:09.106,1.605,-0.549,0.000,-0.366
1565464209125,2019-08-10T12:10:09.125,1.624,-0.549,0.000,-0.305
1565464209146,2019-08-10T12:10:09.146,1.645,-0.610,0.061,-0.366
1565464209166,2019-08-10T12:10:09.166,1.665,-0.671,0.000,-0.366
1565464209187,2019-08-10T12:10:09.187,1.686,-0.610,-0.061,-0.305
1565464209208,2019-08-10T12:10:09.208,1.707,-0.610,0.000,-0.366
1565464209228,2019-08-10T12:10:09.228,1.727,-0.610,0.000,-0.366
1565464209249,2019-08-10T12:10:09.249,1.748,-0.549,0.000,-0.305
1565464209268,2019-08-10T12:10:09.268,1.767,-0.610,0.000,-0.305
1565464209288,2019-08-10T12:10:09.288,1.787,-0.732,-0.061,-0.366
1565464209309,2019-08-10T12:10:09.309,1.808,-0.671,0.000,-0.427
1565464209329,2019-08-10T12:10:09.329,1.828,-0.610,0.000,-0.366
1565464209350,2019-08-10T12:10:09.350,1.849,-0.610,0.000,-0.366
1565464209370,2019-08-10T12:10:09.370,1.869,-0.549,0.061,-0.305
1565464209391,2019-08-10T12:10:09.391,1.890,-0.610,0.000,-0.305
1565464209411,2019-08-10T12:10:09.411,1.910,-0.671,0.000,-0.366
1565464209430,2019-08-10T12:10:09.430,1.929,-0.671,0.061,-0.305
1565464209451,2019-08-10T12:10:09.451,1.950,-0.610,0.061,-0.305
1565464209471,2019-08-10T12:10:09.471,1.970,-0.610,0.000,-0.305
1565464209492,2019-08-10T12:10:09.492,1.991,-0.671,0.000,-0.366
1565464209512,2019-08-10T12:10:09.512,2.011,-0.610,0.000,-0.366
1565464209533,2019-08-10T12:10:09.533,2.032,-0.549,0.000,-0.305
1565464209553,2019-08-10T12:10:09.553,2.052,-0.549,-0.061,-0.305
1565464209572,2019-08-10T12:10:09.572,2.071,-0.610,0.000,-0.305
1565464209593,2019-08-10T12:10:09.593,2.092,-0.610,0.000,-0.305
1565464209613,2019-08-10T12:10:09.613,2.112,-0.610,-0.061,-0.366
1565464209634,2019-08-10T12:10:09.634,2.133,-0.610,0.000,-0.366
1565464209654,2019-08-10T12:10:09.654,2.153,-0.671,-0.061,-0.427
1565464209675,2019-08-10T12:10:09.675,2.174,-0.610,0.000,-0.366
1565464209695,2019-08-10T12:10:09.695,2.194,-0.610,0.000,-0.366
1565464209714,2019-08-10T12:10:09.714,2.213,-0.610,0.000,-0.366
1565464209735,2019-08-10T12:10:09.735,2.234,-0.549,0.061,-0.305
1565464209755,2019-08-10T12:10:09.755,2.254,-0.610,0.061,-0.305
1565464209776,2019-08-10T12:10:09.776,2.275,-0.671,0.061,-0.366
1565464209796,2019-08-10T12:10:09.796,2.295,-0.610,0.000,-0.305
1565464209817,2019-08-10T12:10:09.817,2.316,-0.610,-0.061,-0.366
1565464209837,2019-08-10T12:10:09.837,2.336,-0.549,0.000,-0.366
1565464209858,2019-08-10T12:10:09.858,2.357,-0.610,0.000,-0.305
1565464209877,2019-08-10T12:10:09.877,2.376,-0.671,0.061,-0.305
1565464209897,2019-08-10T12:10:09.897,2.396,-0.549,0.000,-0.305
1565464209918,2019-08-10T12:10:09.918,2.417,-0.549,0.000,-0.305
1565464209938,2019-08-10T12:10:09.938,2.437,-0.610,0.000,-0.366
1565464209959,2019-08-10T12:10:09.959,2.458,-0.610,-0.061,-0.366
1565464209979,2019-08-10T12:10:09.979,2.478,-0.671,0.000,-0.305
1565464210000,2019-08-10T12:10:10.000,2.499,-0.549,0.000,-0.366
1565464210019,2019-08-10T12:10:10.019,2.518,-0.549,0.061,-0.427
1565464210040,2019-08-10T12:10:10.040,2.539,-0.610,0.000,-0.366
1565464210060,2019-08-10T12:10:10.060,2.559,-0.610,0.000,-0.305
1565464210081,2019-08-10T12:10:10.081,2.580,-0.549,0.000,-0.305
1565464210101,2019-08-10T12:10:10.101,2.600,-0.549,0.000,-0.366
1565464210122,2019-08-10T12:10:10.122,2.621,-0.671,0.000,-0.366
1565464210142,2019-08-10T12:10:10.142,2.641,-0.610,0.000,-0.366
1565464210161,2019-08-10T12:10:10.161,2.660,-0.610,-0.061,-0.427
1565464210182,2019-08-10T12:10:10.182,2.681,-0.610,0.000,-0.366
1565464210202,2019-08-10T12:10:10.202,2.701,-0.610,0.000,-0.305
1565464210223,2019-08-10T12:10:10.223,2.722,-0.610,0.000,-0.366
1565464210243,2019-08-10T12:10:10.243,2.742,-0.610,0.000,-0.366
1565464210264,2019-08-10T12:10:10.264,2.763,-0.610,0.000,-0.366
1565464210284,2019-08-10T12:10:10.284,2.783,-0.610,0.000,-0.305
1565464210305,2019-08-10T12:10:10.305,2.804,-0.610,0.000,-0.366
1565464210324,2019-08-10T12:10:10.324,2.823,-0.549,-0.061,-0.305
1565464210344,2019-08-10T12:10:10.344,2.843,-0.610,0.000,-0.366
1565464210365,2019-08-10T12:10:10.365,2.864,-0.671,0.000,-0.366
1565464210385,2019-08-10T12:10:10.385,2.884,-0.549,0.000,-0.305
1565464210406,2019-08-10T12:10:10.406,2.905,-0.610,0.000,-0.305
1565464210426,2019-08-10T12:10:10.426,2.925,-0.549,0.000,-0.366
1565464210447,2019-08-10T12:10:10.447,2.946,-0.610,-0.061,-0.366
1565464210467,2019-08-10T12:10:10.467,2.966,-0.610,0.000,-0.305
1565464210486,2019-08-10T12:10:10.486,2.985,-0.671,0.000,-0.305
1565464210507,2019-08-10T12:10:10.507,3.006,-0.671,0.000,-0.366
1565464210527,2019-08-10T12:10:10.527,3.026,-0.610,0.000,-0.427
1565464210548,2019-08-10T12:10:10.548,3.047,-0.610,-0.061,-0.366
1565464210568,2019-08-10T12:10:10.568,3.067,-0.671,0.000,-0.366
1565464210589,2019-08-10T12:10:10.589,3.088,-0.610,-0.061,-0.366
1565464210608,2019-08-10T12:10:10.608,3.107,-0.610,0.000,-0.366
1565464210628,2019-08-10T12:10:10.628,3.127,-0.610,0.000,-0.366
1565464210649,2019-08-10T12:10:10.649,3.148,-0.610,0.000,-0.366
1565464210669,2019-08-10T12:10:10.669,3.168,-0.549,0.000,-0.305
1565464210690,2019-08-10T12:10:10.690,3.189,-0.610,0.000,-0.366
1565464210710,2019-08-10T12:10:10.710,3.209,-0.549,0.000,-0.305
1565464210731,2019-08-10T12:10:10.731,3.230,-0.610,0.061,-0.366
1565464210750,2019-08-10T12:10:10.750,3.249,-0.610,0.061,-0.305
1565464210771,2019-08-10T12:10:10.771,3.270,-0.610,-0.061,-0.305
1565464210791,2019-08-10T12:10:10.791,3.290,-0.610,0.000,-0.366
1565464210812,2019-08-10T12:10:10.812,3.311,-0.671,0.000,-0.366
1565464210832,2019-08-10T12:10:10.832,3.331,-0.671,0.000,-0.366
1565464210853,2019-08-10T12:10:10.853,3.352,-0.671,0.000,-0.305
1565464210873,2019-08-10T12:10:10.873,3.372,-0.610,-0.061,-0.366
1565464210894,2019-08-10T12:10:10.894,3.393,-0.549,0.000,-0.305
1565464210913,2019-08-10T12:10:10.913,3.412,-0.610,0.000,-0.305
1565464210933,2019-08-10T12:10:10.933,3.432,-0.610,0.000,-0.366
1565464210954,2019-08-10T12:10:10.954,3.453,-0.549,0.061,-0.366
1565464210974,2019-08-10T12:10:10.974,3.473,-0.610,0.000,-0.366
1565464210995,2019-08-10T12:10:10.995,3.494,-0.549,0.000,-0.366
1565464211015,2019-08-10T12:10:11.015,3.514,-0.610,0.000,-0.305
1565464211036,2019-08-10T12:10:11.036,3.535,-0.610,0.000,-0.305
1565464211055,2019-08-10T12:10:11.055,3.554,-0.549,0.000,-0.366
1565464211075,2019-08-10T12:10:11.075,3.574,-0.610,0.000,-0.366
1565464211096,2019-08-10T12:10:11.096,3.595,-0.610,0.000,-0.305
1565464211116,2019-08-10T12:10:11.116,3.615,-0.610,0.000,-0.366
1565464211137,2019-08-10T12:10:11.137,3.636,-0.610,0.061,-0.305
1565464211157,2019-08-10T12:10:11.157,3.656,-0.671,0.000,-0.366
1565464211178,2019-08-10T12:10:11.178,3.677,-0.671,0.000,-0.305
1565464211197,2019-08-10T12:10:11.197,3.696,-0.610,0.000,-0.305
1565464211217,2019-08-10T12:10:11.217,3.716,-0.671,0.000,-0.366
1565464211238,2019-08-10T12:10:11.238,3.737,-0.549,0.000,-0.305
1565464211258,2019-08-10T12:10:11.258,3.757,-0.549,-0.061,-0.366
1565464211279,2019-08-10T12:10:11.279,3.778,-0.549,0.000,-0.366
1565464211299,2019-08-10T12:10:11.299,3.798,-0.610,0.000,-0.305
1565464211320,2019-08-10T12:10:11.320,3.819,-0.610,0.000,-0.366
1565464211340,2019-08-10T12:10:11.340,3.839,-0.610,0.000,-0.366
1565464211359,2019-08-10T12:10:11.359,3.858,-0.549,0.000,-0.366
1565464211380,2019-08-10T12:10:11.380,3.879,-0.549,0.000,-0.305
1565464211400,2019-08-10T12:10:11.400,3.899,-0.671,0.000,-0.366
1565464211421,2019-08-10T12:10:11.421,3.920,-0.671,0.000,-0.305
1565464211441,2019-08-10T12:10:11.441,3.940,-0.549,0.061,-0.305
1565464211462,2019-08-10T12:10:11.462,3.961,-0.610,0.000,-0.305
1565464211482,2019-08-10T12:10:11.482,3.981,-0.610,-0.061,-0.366
1565464211501,2019-08-10T12:10:11.501,4.000,-0.549,-0.061,-0.366
1565464211522,2019-08-10T12:10:11.522,4.021,-0.671,0.000,-0.305
1565464211542,2019-08-10T12:10:11.542,4.041,-0.610,0.000,-0.366
1565464211563,2019-08-10T12:10:11.563,4.062,-0.610,0.000,-0.366
1565464211583,2019-08-10T12:10:11.583,4.082,-0.610,0.061,-0.366
1565464211604,2019-08-10T12:10:11.604,4.103,-0.549,0.000,-0.305
1565464211625,2019-08-10T12:10:11.625,4.124,-0.671,0.000,-0.366
1565464211644,2019-08-10T12:10:11.644,4.143,-0.610,0.000,-0.366
1565464211664,2019-08-10T12:10:11.664,4.163,-0.610,-0.061,-0.366
1565464211685,2019-08-10T12:10:11.685,4.184,-0.671,-0.061,-0.366
1565464211705,2019-08-10T12:10:11.705,4.204,-0.610,-0.061,-0.366
1565464211726,2019-08-10T12:10:11.726,4.225,-0.610,0.000,-0.366
1565464211746,2019-08-10T12:10:11.746,4.245,-0.549,0.061,-0.366
1565464211767,2019-08-10T12:10:11.767,4.266,-0.610,0.000,-0.366
1565464211786,2019-08-10T12:10:11.786,4.285,-0.549,0.000,-0.366
1565464211806,2019-08-10T12:10:11.806,4.305,-0.610,0.000,-0.366
1565464211827,2019-08-10T12:10:11.827,4.326,-0.671,0.000,-0.305
1565464211847,2019-08-10T12:10:11.847,4.346,-0.549,0.000,-0.305
1565464211868,2019-08-10T12:10:11.868,4.367,-0.610,-0.061,-0.305
1565464211888,2019-08-10T12:10:11.888,4.387,-0.671,-0.061,-0.305
1565464211909,2019-08-10T12:10:11.909,4.408,-0.671,-0.061,-0.366
1565464211929,2019-08-10T12:10:11.929,4.428,-0.610,-0.061,-0.366
1565464211948,2019-08-10T12:10:11.948,4.447,-0.610,0.000,-0.366
1565464211969,2019-08-10T12:10:11.969,4.468,-0.610,0.000,-0.366
1565464211989,2019-08-10T12:10:11.989,4.488,-0.610,0.000,-0.366
1565464212010,2019-08-10T12:10:12.010,4.509,-0.610,0.000,-0.366
1565464212030,2019-08-10T12:10:12.030,4.529,-0.610,0.000,-0.366
1565464212051,2019-08-10T12:10:12.051,4.550,-0.610,0.000,-0.366
1565464212071,2019-08-10T12:10:12.071,4.570,-0.671,0.000,-0.427
1565464212090,2019-08-10T12:10:12.090,4.589,-0.671,0.000,-0.427
1565464212111,2019-08-10T12:10:12.111,4.610,-0.610,0.000,-0.366
1565464212131,2019-08-10T12:10:12.131,4.630,-0.549,0.000,-0.366
1565464212152,2019-08-10T12:10:12.152,4.651,-0.610,0.000,-0.305
1565464212172,2019-08-10T12:10:12.172,4.671,-0.549,0.061,-0.366
1565464212193,2019-08-10T12:10:12.193,4.692,-0.610,0.000,-0.305
1565464212213,2019-08-10T12:10:12.213,4.712,-0.610,0.000,-0.366
1565464212232,2019-08-10T12:10:12.232,4.731,-0.610,0.000,-0.366
1565464212253,2019-08-10T12:10:12.253,4.752,-0.549,0.000,-0.366
1565464212273,2019-08-10T12:10:12.273,4.772,-0.671,0.000,-0.366
1565464212294,2019-08-10T12:10:12.294,4.793,-0.671,0.061,-0.366
1565464212314,2019-08-10T12:10:12.314,4.813,-0.610,-0.061,-0.366
1565464212335,2019-08-10T12:10:12.335,4.834,-0.610,0.000,-0.305
1565464212355,2019-08-10T12:10:12.355,4.854,-0.610,-0.061,-0.366
1565464212376,2019-08-10T12:10:12.376,4.875,-0.610,0.061,-0.366
1565464212395,2019-08-10T12:10:12.395,4.894,-0.610,0.000,-0.366
1565464212416,2019-08-10T12:10:12.416,4.915,-0.610,0.000,-0.366
1565464212436,2019-08-10T12:10:12.436,4.935,-0.610,0.000,-0.366
1565464212457,2019-08-10T12:10:12.457,4.956,-0.610,0.000,-0.366
1565464212477,2019-08-10T12:10:12.477,4.976,-0.610,0.000,-0.366
1565464212498,2019-08-10T12:10:12.498,4.997,-0.610,0.000,-0.366
1565464212518,2019-08-10T12:10:12.518,5.017,-0.610,0.000,-0.305
1565464212537,2019-08-10T12:10:12.537,5.036,-0.610,0.061,-0.366
1565464212558,2019-08-10T12:10:12.558,5.057,-0.610,-0.061,-0.366
1565464212578,2019-08-10T12:10:12.578,5.077,-0.549,0.000,-0.305
1565464212599,2019-08-10T12:10:12.599,5.098,-0.549,0.061,-0.305
1565464212619,2019-08-10T12:10:12.619,5.118,-0.549,0.000,-0.366
1565464212640,2019-08-10T12:10:12.640,5.139,-0.610,-0.061,-0.366
1565464212660,2019-08-10T12:10:12.660,5.159,-0.671,-0.061,-0.366
1565464212679,2019-08-10T12:10:12.679,5.178,-0.610,0.000,-0.305
1565464212700,2019-08-10T12:10:12.700,5.199,-0.610,0.000,-0.305
1565464212720,2019-08-10T12:10:12.720,5.219,-0.610,0.061,-0.366
1565464212741,2019-08-10T12:10:12.741,5.240,-0.549,0.000,-0.366
1565464212761,2019-08-10T12:10:12.761,5.260,-0.549,-0.061,-0.305
1565464212782,2019-08-10T12:10:12.782,5.281,-0.610,0.000,-0.305
1565464212802,2019-08-10T12:10:12.802,5.301,-0.610,0.000,-0.305
1565464212823,2019-08-10T12:10:12.823,5.322,-0.549,0.000,-0.305
1565464212842,2019-08-10T12:10:12.842,5.341,-0.549,0.000,-0.305
1565464212862,2019-08-10T12:10:12.862,5.361,-0.671,-0.061,-0.366
1565464212883,2019-08-10T12:10:12.883,5.382,-0.549,-0.061,-0.305
1565464212903,2019-08-10T12:10:12.903,5.402,-0.671,-0.061,-0.305
1565464212924,2019-08-10T12:10:12.924,5.423,-0.671,0.000,-0.305
1565464212944,2019-08-10T12:10:12.944,5.443,-0.610,-0.061,-0.366
1565464212965,2019-08-10T12:10:12.965,5.464,-0.610,0.000,-0.366
1565464212984,2019-08-10T12:10:12.984,5.483,-0.549,0.061,-0.366
1565464213004,2019-08-10T12:10:13.004,5.503,-0.610,0.000,-0.305
1565464213025,2019-08-10T12:10:13.025,5.524,-0.671,0.000,-0.305
1565464213045,2019-08-10T12:10:13.045,5.544,-0.671,0.000,-0.305
1565464213066,2019-08-10T12:10:13.066,5.565,-0.610,0.061,-0.366
1565464213086,2019-08-10T12:10:13.086,5.585,-0.549,0.000,-0.366
1565464213107,2019-08-10T12:10:13.107,5.606,-0.671,-0.061,-0.366
1565464213126,2019-08-10T12:10:13.126,5.625,-0.610,0.000,-0.366
1565464213146,2019-08-10T12:10:13.146,5.645,-0.549,0.000,-0.305
1565464213167,2019-08-10T12:10:13.167,5.666,-0.610,-0.061,-0.366
1565464213187,2019-08-10T12:10:13.187,5.686,-0.610,0.061,-0.305
1565464213208,2019-08-10T12:10:13.208,5.707,-0.610,0.000,-0.305
1565464213229,2019-08-10T12:10:13.229,5.728,-0.671,-0.122,-0.305
1565464213249,2019-08-10T12:10:13.249,5.748,-0.610,0.000,-0.366
1565464213268,2019-08-10T12:10:13.268,5.767,-0.610,0.000,-0.305
1565464213289,2019-08-10T12:10:13.289,5.788,-0.610,-0.061,-0.305
1565464213309,2019-08-10T12:10:13.309,5.808,-0.610,0.000,-0.305
1565464213330,2019-08-10T12:10:13.330,5.829,-0.610,0.000,-0.366
1565464213350,2019-08-10T12:10:13.350,5.849,-0.610,0.000,-0.366
1565464213371,2019-08-10T12:10:13.371,5.870,-0.610,0.000,-0.305
1565464213391,2019-08-10T12:10:13.391,5.890,-0.610,0.000,-0.305
1565464213412,2019-08-10T12:10:13.412,5.911,-0.671,0.000,-0.366
1565464213431,2019-08-10T12:10:13.431,5.930,-0.549,0.000,-0.427
1565464213451,2019-08-10T12:10:13.451,5.950,-0.549,-0.061,-0.305
1565464213472,2019-08-10T12:10:13.472,5.971,-0.549,0.000,-0.366
1565464213492,2019-08-10T12:10:13.492,5.991,-0.610,0.000,-0.305
1565464213513,2019-08-10T12:10:13.513,6.012,-0.610,0.000,-0.305
1565464213533,2019-08-10T12:10:13.533,6.032,-0.610,0.000,-0.366
1565464213554,2019-08-10T12:10:13.554,6.053,-0.610,0.061,-0.305
1565464213573,2019-08-10T12:10:13.573,6.072,-0.610,0.061,-0.366
1565464213593,2019-08-10T12:10:13.593,6.092,-0.610,0.000,-0.366
1565464213614,2019-08-10T12:10:13.614,6.113,-0.610,0.000,-0.305
1565464213634,2019-08-10T12:10:13.634,6.133,-0.610,0.061,-0.366
1565464213655,2019-08-10T12:10:13.655,6.154,-0.671,0.000,-0.366
1565464213675,2019-08-10T12:10:13.675,6.174,-0.549,-0.061,-0.305
1565464213696,2019-08-10T12:10:13.696,6.195,-0.610,0.000,-0.366
1565464213715,2019-08-10T12:10:13.715,6.214,-0.732,0.000,-0.366
1565464213735,2019-08-10T12:10:13.735,6.234,-0.610,-0.061,-0.366
1565464213756,2019-08-10T12:10:13.756,6.255,-0.610,0.000,-0.305
1565464213776,2019-08-10T12:10:13.776,6.275,-0.610,0.061,-0.305
1565464213797,2019-08-10T12:10:13.797,6.296,-0.671,0.000,-0.305
1565464213817,2019-08-10T12:10:13.817,6.316,-0.671,0.000,-0.305
1565464213838,2019-08-10T12:10:13.838,6.337,-0.610,0.000,-0.366
1565464213858,2019-08-10T12:10:13.858,6.357,-0.610,0.000,-0.305
1565464213877,2019-08-10T12:10:13.877,6.376,-0.671,0.000,-0.305
1565464213898,2019-08-10T12:10:13.898,6.397,-0.671,0.000,-0.366
1565464213918,2019-08-10T12:10:13.918,6.417,-0.610,0.000,-0.366
1565464213939,2019-08-10T12:10:13.939,6.438,-0.610,0.061,-0.366
1565464213959,2019-08-10T12:10:13.959,6.458,-0.610,0.000,-0.305
1565464213980,2019-08-10T12:10:13.980,6.479,-0.549,-0.061,-0.366
1565464214000,2019-08-10T12:10:14.000,6.499,-0.549,0.000,-0.366
1565464214020,2019-08-10T12:10:14.020,6.519,-0.610,0.000,-0.366
1565464214040,2019-08-10T12:10:14.040,6.539,-0.610,0.000,-0.305
1565464214061,2019-08-10T12:10:14.061,6.560,-0.549,0.000,-0.305
1565464214081,2019-08-10T12:10:14.081,6.580,-0.549,0.000,-0.305
1565464214102,2019-08-10T12:10:14.102,6.601,-0.671,0.000,-0.366
1565464214122,2019-08-10T12:10:14.122,6.621,-0.671,0.000,-0.305
1565464214143,2019-08-10T12:10:14.143,6.642,-0.671,0.000,-0.366
1565464214162,2019-08-10T12:10:14.162,6.661,-0.610,-0.061,-0.366
1565464214182,2019-08-10T12:10:14.182,6.681,-0.549,0.000,-0.366
1565464214203,2019-08-10T12:10:14.203,6.702,-0.671,0.061,-0.427
1565464214223,2019-08-10T12:10:14.223,6.722,-0.610,0.061,-0.366
1565464214244,2019-08-10T12:10:14.244,6.743,-0.610,-0.061,-0.305
1565464214264,2019-08-10T12:10:14.264,6.763,-0.610,0.000,-0.305
1565464214285,2019-08-10T12:10:14.285,6.784,-0.610,0.000,-0.305
1565464214305,2019-08-10T12:10:14.305,6.804,-0.671,0.000,-0.305
1565464214324,2019-08-10T12:10:14.324,6.823,-0.610,0.000,-0.305
1565464214345,2019-08-10T12:10:14.345,6.844,-0.610,0.061,-0.305
1565464214365,2019-08-10T12:10:14.365,6.864,-0.549,0.061,-0.305
1565464214386,2019-08-10T12:10:14.386,6.885,-0.610,0.000,-0.366
1565464214406,2019-08-10T12:10:14.406,6.905,-0.610,0.000,-0.366
1565464214427,2019-08-10T12:10:14.427,6.926,-0.671,0.000,-0.366
1565464214447,2019-08-10T12:10:14.447,6.946,-0.671,0.000,-0.305
1565464214466,2019-08-10T12:10:14.466,6.965,-0.610,0.061,-0.366
1565464214487,2019-08-10T12:10:14.487,6.986,-0.610,0.061,-0.366
1565464214507,2019-08-10T12:10:14.507,7.006,-0.610,0.061,-0.366
1565464214528,2019-08-10T12:10:14.528,7.027,-0.671,0.061,-0.366
1565464214548,2019-08-10T12:10:14.548,7.047,-0.549,0.000,-0.366
1565464214569,2019-08-10T12:10:14.569,7.068,-0.610,-0.061,-0.366
1565464214589,2019-08-10T12:10:14.589,7.088,-0.610,0.000,-0.305
1565464214608,2019-08-10T12:10:14.608,7.107,-0.610,0.000,-0.305
1565464214629,2019-08-10T12:10:14.629,7.128,-0.671,0.000,-0.366
1565464214649,2019-08-10T12:10:14.649,7.148,-0.671,0.000,-0.366
1565464214670,2019-08-10T12:10:14.670,7.169,-0.610,-0.061,-0.366
1565464214690,2019-08-10T12:10:14.690,7.189,-0.610,0.000,-0.366
1565464214711,2019-08-10T12:10:14.711,7.210,-0.671,-0.061,-0.305
